j,i,lat,lon,THETA_W850,THETA_E850,GPH850,GPH500,SLP,T2C,RH2,U10M,V10M,TC1000,RH1000,U1000,V1000,TC975,RH975,U975,V975,TC950,RH950,U950,V950,TC925,RH925,U925,V925,TC850,RH850,U850,V850,TC700,RH700,U700,V700,TC500,RH500,U500,V500,TC300,RH300,U300,V300,label
100,294,38.87337,26.362091,-0.024846796,25.952793,152.38943,572.1582,1021.3083,10.533888,78.82382,-5.773786,-1.2119201,9.007096,76.97332,-6.5781493,-1.3618903,8.728075,62.31293,-9.3077,-0.8189814,9.172038,51.157417,-7.335621,-0.5356792,8.737063,45.463406,-4.7457256,-1.2108626,8.799705,13.837365,-4.271672,-2.4963655,0.27679318,15.585954,-6.3443666,-4.50453,-17.506466,16.535225,-1.2978452,-9.6837435,-46.093513,9.290252,-0.38264728,-13.3142185,28
101,294,38.98566,26.362091,-0.036073335,25.929804,152.42137,572.1954,1021.3945,9.521689,80.67332,-3.791431,-0.96782625,8.528873,80.43449,-5.505051,-1.2366697,8.729262,63.433636,-9.101129,-0.65647626,9.086653,52.01005,-7.372413,-0.018722452,8.549702,46.948654,-4.608008,-0.76425225,8.725792,14.1206045,-4.3670106,-2.386503,0.29441115,15.769397,-6.4302235,-4.3667426,-17.543331,16.413427,-1.3467375,-9.587041,-46.106186,9.480167,-0.43449807,-13.137199,28
102,294,39.09795,26.362091,-0.05447639,25.892212,152.46384,572.2336,1021.4677,9.016454,82.19559,-3.0758214,-0.69696456,8.331111,82.88399,-4.9802017,-1.0347673,8.74307,64.98398,-8.698515,-0.5897487,9.052288,52.526207,-7.2264833,0.40628454,8.40176,48.062206,-4.414753,-0.34340087,8.64863,14.36598,-4.4735985,-2.2558165,0.30416387,15.954958,-6.492443,-4.2625995,-17.57645,16.298038,-1.3685979,-9.481355,-46.123863,9.623644,-0.47187555,-12.911431,28
103,294,39.21024,26.362091,-0.08508298,25.830671,152.5169,572.26306,1021.50854,9.374789,82.94028,-3.9682627,-0.64646095,8.567733,83.30905,-5.3947277,-0.9876873,9.037868,64.71215,-8.182503,-0.56454027,9.217039,51.71551,-6.5799017,0.74759585,8.32911,48.462357,-3.948423,0.06844953,8.5299635,14.754041,-4.579013,-2.0978436,0.31288043,16.144236,-6.5415506,-4.2323174,-17.60593,16.171858,-1.3425678,-9.366245,-46.14155,9.767369,-0.49202442,-12.676934,28
104,294,39.32253,26.362091,-0.13381359,25.732643,152.57118,572.29987,1021.5086,9.5487,82.416916,-4.5651436,-0.87738043,8.712896,82.20605,-5.79261,-1.2060708,9.566428,61.013012,-8.143197,-0.5229335,9.582959,48.694374,-5.9139705,1.06567,8.410887,47.25196,-3.3441641,0.5175467,8.384985,15.139036,-4.6110845,-1.9552965,0.3274725,16.29339,-6.5717654,-4.223088,-17.63649,16.025936,-1.2889355,-9.23781,-46.158634,9.913321,-0.49922875,-12.424285,28
105,294,39.434814,26.362091,-0.20170501,25.595238,152.62865,572.35596,1021.4742,9.213961,80.68016,-4.65121,-1.2141106,8.633488,80.010796,-5.867156,-1.5174997,10.125408,55.283676,-8.594841,-0.5303926,10.064523,43.801666,-5.511907,1.330994,8.6593485,44.277103,-2.7733684,0.992994,8.244346,15.333275,-4.56425,-1.8354214,0.34141308,16.39032,-6.5635967,-4.205828,-17.667704,15.873188,-1.2167144,-9.091422,-46.180786,10.007813,-0.49039036,-12.100588,28
106,294,39.547104,26.362091,-0.2904915,25.415148,152.67216,572.4334,1021.4034,8.815199,79.79288,-4.819255,-1.4499639,nan,nan,nan,nan,10.115167,54.630733,-9.082845,-1.0384536,10.492869,39.761692,-5.7389326,1.054531,9.136172,39.803608,-2.6693468,1.2343487,8.076553,15.512055,-4.395509,-1.5922297,0.35769093,16.425125,-6.5728126,-4.19424,-17.693935,15.648525,-1.1008395,-8.925073,-46.20081,10.125211,-0.46947628,-11.795031,28
107,294,39.659393,26.362091,-0.39346096,25.20672,152.7029,572.50665,1021.38025,8.263896,78.47086,-4.782741,-1.2641741,nan,nan,nan,nan,9.540366,57.885677,-9.690591,-1.6922477,10.782724,36.75126,-6.39151,0.2999417,9.707116,34.695232,-2.9667408,1.0910193,7.8724055,15.786569,-4.127785,-1.2569444,0.37510318,16.39911,-6.562937,-4.146621,-17.722061,15.398561,-0.9581004,-8.767406,-46.22291,10.200979,-0.42776674,-11.442658,28
108,294,39.771683,26.362091,-0.45350736,25.08769,152.76123,572.5512,1021.4642,8.380047,79.0787,-4.937256,-1.3371794,nan,nan,nan,nan,9.065518,62.739025,-10.058721,-2.2468083,10.632682,37.896854,-7.282511,-0.58557814,9.935862,32.235134,-3.8060846,0.7016154,7.7311964,16.089653,-3.962064,-0.8674195,0.37226483,16.46481,-6.5302267,-4.0810156,-17.742542,15.090912,-0.8065427,-8.62531,-46.24141,10.326478,-0.37365815,-11.173678,28
109,294,39.883972,26.362091,-0.46217975,25.073528,152.84537,572.5745,1021.6669,8.672328,82.88647,-4.8447294,-1.2737865,nan,nan,nan,nan,8.513357,70.93633,-10.056072,-2.3166933,9.725136,45.654903,-8.745754,-1.5126741,9.634397,33.917057,-5.6684713,-0.026827382,7.7637405,15.852428,-3.8551989,-0.38126525,0.33616957,16.621439,-6.5002117,-3.979582,-17.745138,14.698282,-0.66481626,-8.496623,-46.258625,10.4591465,-0.29161087,-10.933647,28
110,294,39.99626,26.362091,-0.48453555,25.032005,152.92775,572.59265,1021.8773,9.022174,85.99653,-4.8217163,-1.1474378,nan,nan,nan,nan,8.118995,78.466064,-9.826832,-2.3632557,8.926537,54.042404,-9.713838,-2.2065628,9.247947,36.772095,-7.0958304,-0.60121816,7.809894,15.402003,-3.7441895,0.03513646,0.2951035,16.815096,-6.4574566,-3.860238,-17.752306,14.291205,-0.51948863,-8.372406,-46.27817,10.562225,-0.1965541,-10.686454,28
111,294,40.10855,26.362091,-0.5038231,24.996702,153.01418,572.5982,1022.1524,9.440932,88.22469,-5.011138,-0.8742374,nan,nan,nan,nan,8.201268,82.979324,-9.288787,-2.464234,8.275626,63.293194,-9.712473,-2.5369596,8.578352,42.297966,-7.817537,-1.0297251,7.9268203,14.591323,-3.792653,0.27722806,0.2357805,17.103352,-6.340652,-3.6852112,-17.757725,13.845505,-0.4017499,-8.261887,-46.297318,10.643839,-0.07317758,-10.451241,28
112,294,40.22084,26.362091,-0.53156036,24.944374,153.09724,572.60236,1022.4384,9.810271,90.4106,-4.9980636,-0.8441859,nan,nan,nan,nan,8.346559,86.65122,-8.761342,-2.4086328,7.737518,71.83354,-9.5212755,-2.618354,7.907503,48.208397,-8.344047,-1.2978809,8.030406,13.803556,-3.900486,0.4634431,0.17622451,17.389584,-6.1912327,-3.4951935,-17.763977,13.37599,-0.29033875,-8.152339,-46.312977,10.716905,0.060635492,-10.219539,28
113,294,40.33313,26.362091,-0.612959,24.784376,153.16393,572.6091,1022.67487,10.125786,92.05963,-4.4615793,-1.3418775,nan,nan,nan,nan,8.333539,91.25526,-8.138163,-1.9153622,7.4770784,79.30063,-9.112822,-2.15629,7.4224825,53.987537,-8.421621,-1.0844901,8.0425,13.047637,-3.8933744,0.61440736,0.12957618,17.62969,-6.050075,-3.3100114,-17.78528,12.878738,-0.14439932,-8.036449,-46.327976,10.731898,0.20686233,-9.960878,28
114,294,40.44542,26.362091,-0.68212086,24.652746,153.23744,572.6149,1022.9291,10.298031,92.81583,-3.9343512,-1.6429297,9.1350765,94.47584,-5.728788,-1.6365095,8.412113,94.66599,-7.5530133,-1.5048635,7.2683954,85.96482,-8.555793,-1.6989949,6.935882,59.743645,-8.35253,-0.9163,8.014869,12.650855,-4.0423136,0.68018043,0.09565569,17.866982,-5.851582,-3.110895,-17.806664,12.406558,-0.024048747,-7.90913,-46.339176,10.768287,0.3541303,-9.7227745,28
115,294,40.55771,26.362091,-0.7460796,24.527088,153.30011,572.6373,1023.13055,9.481198,92.1589,-3.2697322,-2.5632617,8.936819,93.69989,-6.1734476,-2.628594,8.487331,96.09608,-7.530024,-1.044085,7.2230597,90.092766,-8.119999,-0.66235816,6.6268215,64.80783,-8.1810255,-0.25934887,7.975752,12.334358,-4.0660477,0.70626634,0.05656651,18.02034,-5.6702113,-2.9208648,-17.838049,11.88189,0.12966345,-7.7630186,-46.34784,10.750395,0.50323033,-9.44423,28
